# winmostar

       750 atoms    

         2 atom types    

      -11.095870000000037        11.095869999999965 xlo xhi
      -11.095870000000019        11.095869999999984 ylo yhi
      -11.095870000000002        11.095870000000002 zlo zhi

Masses

    1        12.011000000000000 # C    
    2         1.008000000000000 # H    

Atoms

       1     1         4.562000000000000        -0.846000000000000        -3.441000000000000
       2     2         4.158000000000001         0.109000000000000        -3.037000000000000
       3     2         4.176999999999999        -0.982000000000000        -4.477000000000000
       4     2         5.670000000000000        -0.739000000000000        -3.494000000000000
       5     1         4.146000000000000        -2.014000000000000        -2.582000000000000
       6     1         2.843000000000000        -2.095000000000000        -2.087000000000000
       7     1         5.049000000000001        -3.027000000000000        -2.254000000000000
       8     1         4.659000000000000        -4.101000000000000        -1.455000000000000
       9     1         2.447000000000000        -3.165000000000000        -1.288000000000000
      10     1         3.356000000000000        -4.171000000000000        -0.969000000000000
      11     2         6.085000000000000        -2.985000000000000        -2.631000000000000
      12     2         5.384000000000001        -4.894999999999999        -1.206000000000000
      13     2         2.114000000000000        -1.304000000000000        -2.331000000000000
      14     2         1.413000000000000        -3.215000000000000        -0.904000000000000
      15     2         3.045000000000000        -5.019999999999999        -0.336000000000000
      16     1         8.727000000000000         0.391000000000000         4.908000000000001
      17     2         7.781000000000000        -0.184000000000000         4.793000000000000
      18     2         9.583000000000000        -0.319000000000000         4.846000000000000
      19     2         8.795000000000000         1.091000000000000         4.043000000000000
      20     1         8.759000000000000         1.118000000000000         6.229000000000000
      21     1         8.316000000000001         0.485000000000000         7.392000000000000
      22     1         9.215999999999999         2.434000000000000         6.318000000000000
      23     1         9.237000000000000         3.103000000000000         7.542000000000000
      24     1         8.334000000000000         1.147000000000000         8.618000000000000
      25     1         8.795000000000000         2.459000000000000         8.695000000000000
      26     2         9.569000000000001         2.958000000000000         5.414000000000000
      27     2         9.603000000000000         4.142000000000001         7.596000000000000
      28     2         7.948000000000000        -0.553000000000000         7.344000000000000
      29     2         7.981000000000000         0.632000000000000         9.529000000000000
      30     2         8.810000000000000         2.986000000000000         9.664000000000000
      31     1         2.954000000000000        -5.692999999999999         3.310000000000000
      32     2         3.171000000000000        -5.442000000000000         4.373000000000000
      33     2         3.913000000000000        -5.951000000000000         2.806000000000000
      34     2         2.309000000000000        -6.601000000000000         3.311000000000000
      35     1         2.300000000000000        -4.532000000000000         2.605000000000000
      36     1         2.759000000000000        -3.231000000000000         2.815000000000000
      37     1         1.220000000000000        -4.728000000000000         1.742000000000000
      38     1         0.615000000000000        -3.649000000000000         1.098000000000000
      39     1         2.160000000000000        -2.148000000000000         2.175000000000000
      40     1         1.085000000000000        -2.356000000000000         1.314000000000000
      41     2         0.837000000000000        -5.746000000000001         1.561000000000000
      42     2        -0.236000000000000        -3.820000000000000         0.417000000000000
      43     2         3.609000000000000        -3.053000000000000         3.495000000000000
      44     2         2.535000000000000        -1.125000000000000         2.351000000000000
      45     2         0.608000000000000        -1.501000000000000         0.806000000000000
      46     1        -0.764000000000000        -3.760000000000000        -6.513000000000000
      47     2        -1.769000000000000        -4.025000000000001        -6.113000000000000
      48     2        -0.659000000000000        -4.206000000000001        -7.527000000000000
      49     2        -0.733000000000000        -2.651000000000000        -6.617000000000000
      50     1         0.328000000000000        -4.275000000000001        -5.610000000000000
      51     1         0.239000000000000        -5.554000000000000        -5.057000000000001
      52     1         1.439000000000000        -3.489000000000000        -5.299000000000001
      53     1         2.443000000000000        -3.970000000000000        -4.458999999999999
      54     1         1.238000000000000        -6.041000000000000        -4.216999999999999
      55     1         2.343000000000000        -5.248000000000000        -3.916000000000000
      56     2         1.532000000000000        -2.475000000000000        -5.722000000000001
      57     2         3.315000000000000        -3.338000000000000        -4.224999999999999
      58     2        -0.631000000000000        -6.191000000000000        -5.287000000000000
      59     2         1.154000000000000        -7.055000000000000        -3.787000000000000
      60     2         3.136000000000000        -5.631000000000000        -3.250000000000000
      61     1         8.087000000000000        -3.620000000000000         7.792000000000000
      62     2         8.287000000000001        -3.999000000000000         8.819000000000001
      63     2         8.996000000000000        -3.090000000000000         7.427000000000000
      64     2         7.919000000000000        -4.508000000000000         7.140000000000000
      65     1         6.907000000000000        -2.681000000000000         7.784000000000000
      66     1         6.758000000000000        -1.730000000000000         8.796000000000000
      67     1         5.939000000000000        -2.746000000000000         6.781000000000000
      68     1         4.847000000000001        -1.878000000000000         6.784000000000000
      69     1         5.670000000000000        -0.859000000000000         8.805000000000000
      70     1         4.711000000000000        -0.933000000000000         7.797000000000000
      71     2         6.033000000000000        -3.490000000000000         5.972000000000000
      72     2         4.091000000000000        -1.941000000000000         5.983000000000000
      73     2         7.510000000000000        -1.663000000000000         9.600000000000000
      74     2         5.566000000000000        -0.113000000000000         9.611000000000001
      75     2         3.849000000000000        -0.245000000000000         7.801000000000000
      76     1         3.318000000000000         3.875000000000000        -7.092000000000000
      77     2         4.363000000000001         3.495000000000000        -7.038000000000000
      78     2         3.342000000000000         4.918999999999999        -7.481000000000000
      79     2         2.775000000000000         3.243000000000000        -7.831000000000000
      80     1         2.664000000000000         3.849000000000000        -5.734000000000000
      81     1         3.374000000000000         4.253000000000000        -4.602000000000000
      82     1         1.347000000000000         3.412000000000000        -5.575000000000000
      83     1         0.750000000000000         3.384000000000000        -4.315000000000001
      84     1         2.784000000000000         4.228000000000000        -3.340000000000000
      85     1         1.469000000000000         3.792000000000000        -3.195000000000000
      86     2         0.766000000000000         3.085000000000000        -6.453000000000000
      87     2        -0.291000000000000         3.038000000000000        -4.206000000000001
      88     2         4.416000000000001         4.599000000000000        -4.704000000000000
