# LAMMPS data file written by OVITO Basic 3.9.2

3880 atoms
4 atom types

0.0 33.591 xlo xhi
0.0 33.591 ylo yhi
0.0 33.591 zlo zhi

Masses

1 1.00794  # H
2 12.0107  # C
3 14.0067  # N
4 15.9994  # O

Atoms  # atomic

162 4 2.78 0.753 5.661
163 3 3.051 -1.328 4.736
164 2 1.795 -1.195 3.948
165 2 0.959 -2.5 3.91
166 2 -0.319 -2.41 3.112
167 2 -0.876 -3.837 2.867
168 2 -2.301 -3.691 2.372
169 2 -2.889 -5.081 2.091
170 3 -2.072 -5.733 1.056
171 2 -2.444 -6.985 0.613
172 4 -3.536 -7.45 0.917
173 1 3.963 -1.772 10.399
174 1 3.24 -3.324 10.147
175 1 4.623 -2.789 8.229
176 1 3.068 -2.471 7.54
177 1 3.418 -0.005 8.232
178 1 5.035 -0.416 8.634
179 1 5.202 -1.301 6.193
180 1 5.243 0.409 6.389
181 1 3.619 -2.17 4.643
182 1 1.092 -0.414 4.251
183 1 2.138 -1.049 2.92
184 1 1.525 -3.385 3.602
185 1 0.567 -2.784 4.891
186 1 -0.102 -1.88 2.18
187 1 -1.048 -1.784 3.636
188 1 -0.85 -4.46 3.766
189 1 -0.235 -4.267 2.092
190 1 -2.386 -3.091 1.461
191 1 -2.843 -3.131 3.14
192 1 -2.812 -5.701 2.989
193 1 -3.914 -4.964 1.728
194 1 -1.21 -5.251 0.802
195 2 -1.663 -7.736 -0.515
196 2 -0.233 -8.001 -0.098
197 2 0.501 -8.642 -1.212
198 2 1.804 -9.196 -0.602
199 2 2.706 -9.778 -1.73
200 4 2.416 -9.329 -2.868
201 3 3.9 -10.345 -1.425
202 2 5.001 -10.457 -2.402
203 2 6.366 -10.163 -1.789
204 2 6.603 -8.75 -1.125
205 2 8.037 -8.438 -0.679
206 2 8.285 -6.998 -0.273
207 2 7.738 -6.589 1.024
208 3 8.099 -7.45 2.171
209 2 7.258 -7.412 3.28
210 4 6.516 -6.54 3.563
211 1 -2.177 -8.668 -0.768
212 1 -1.603 -7.135 -1.428
213 1 0.24 -7.063 0.206
214 1 -0.238 -8.73 0.717
215 1 -0.078 -9.517 -1.52
216 1 0.623 -7.939 -2.041
217 1 1.622 -10.021 0.094
218 1 2.287 -8.314 -0.172
219 1 4.004 -10.433 -0.415
220 1 5.084 -11.432 -2.89
221 1 4.877 -9.812 -3.278
222 1 6.678 -10.888 -1.032
223 1 7.042 -10.365 -2.626
224 1 5.977 -8.616 -0.238
225 1 6.279 -7.977 -1.828
226 1 8.681 -8.637 -1.541
227 1 8.318 -9.116 0.132
228 1 7.911 -6.349 -1.071
229 1 9.377 -6.931 -0.265
230 1 8.061 -5.562 1.217
231 1 6.649 -6.514 0.956
232 1 8.77 -8.211 2.07
233 2 7.275 -8.556 4.305
234 2 6.213 -9.622 4.01
235 2 6.589 -10.497 2.741
236 2 5.613 -11.606 2.539
237 2 4.173 -11.137 2.367
238 4 4.043 -10.185 1.677
239 3 3.145 -11.829 2.963
240 2 1.775 -11.468 2.926
241 2 1.06 -12.33 1.851
242 2 -0.399 -11.963 1.498
243 2 -0.887 -12.738 0.287
244 2 -2.408 -12.778 0.364
245 2 -3.012 -11.37 0.367
246 3 -4.465 -11.492 0.237
247 2 -5.234 -11.23 -0.829
248 4 -4.668 -10.892 -1.837
249 1 8.255 -9.038 4.374
250 1 7.027 -8.079 5.258
251 1 6.122 -10.335 4.834
252 1 5.258 -9.098 3.908
253 1 6.659 -9.947 1.799
254 1 7.585 -10.932 2.861
255 1 5.691 -12.336 3.35
256 1 5.988 -12.113 1.645
257 1 3.342 -12.672 3.501
258 1 1.2 -11.612 3.845
259 1 1.671 -10.425 2.612
260 1 1.65 -12.222 0.936
261 1 1.05 -13.34 2.269
262 1 -0.523 -10.887 1.35
263 1 -0.965 -12.086 2.426
264 1 -0.545 -13.77 0.168
265 1 -0.611 -12.266 -0.661
266 1 -2.651 -13.412 1.222
267 1 -2.733 -13.295 -0.544
268 1 -2.763 -10.722 1.212
269 1 -2.534 -10.809 -0.442
270 1 -4.888 -11.926 1.056
271 2 -6.757 -11.4 -0.858
272 2 -7.441 -10.157 -0.227
273 2 -8.979 -10.357 -0.143
274 2 -9.733 -9.161 0.463
275 2 -9.869 -7.954 -0.536
276 4 -9.331 -6.925 -0.24
277 3 -10.614 -8.005 -1.691
